8,Altered State,Of Reality - Calabi-Yau,2:00
9,Altered State,Of Energy - Singularity,8:20
10,Altered State,Of Energy - Embers,3:36
1,Polaris,Dystopia,6:51
2,Polaris,Hexes,5:18
3,Polaris,Survival,4:25
4,Polaris,Tourniquet,5:59
5,Polaris,Utopia,5:34
6,Polaris,Phoenix,3:54
7,Polaris,Messenger,3:35
8,Polaris,Cages,5:29
9,Polaris,Seven Names,5:40
1,Sonder,Luminary,3:12
2,Sonder,King,6:56
3,Sonder,Orbital,2:19
4,Sonder,Juno,5:12
5,Sonder,Beneath My Skin,5:34
6,Sonder,Mirror Image,5:47
7,Sonder,Smile,4:47
8,Sonder,The Arrow,2:37
1,Undertow,Intolerance,4:53
2,Undertow,Prison Sex,4:56
3,Undertow,Sober,5:06
4,Undertow,Bottom,7:14
5,Undertow,Crawl Away,5:30
6,Undertow,Swamp Song,5:31
7,Undertow,Undertow,5:22
8,Undertow,4°,6:03
9,Undertow,Flood,7:46
10,Undertow,Disgustipated,15:47
1,Aenima,Stinkfist,5:11
2,Aenima,Eulogy,8:28
3,Aenima,H.,6:07
4,Aenima,Useful Idiot,0:38
5,Aenima,Forty Six & 2,6:04
6,Aenima,Message to Harry Manback,1:53
7,Aenima,Hooker with a Penis,4:33
8,Aenima,Intermission,0:56
9,Aenima,jimmy,5:24
10,Aenima,Die Eier von Satan,2:17
11,Aenima,Pushit,9:55
12,Aenima,Cesaro Summability,1:26
13,Aenima,Aenema,6:39
14,Aenima,(-) Ions,4:00
15,Aenima,Third Eye,13:47
1,Lateralus,The Grudge,8:36
2,Lateralus,Eon Blue Apocalypse,1:04
3,Lateralus,The Patient,7:13
4,Lateralus,Mantra,1:12
5,Lateralus,Schism,6:47
6,Lateralus,Parabol,3:04
7,Lateralus,Parabola,6:03
8,Lateralus,Ticks & Leeches,8:10
9,Lateralus,Lateralus,9:24
10,Lateralus,Disposition,4:46
11,Lateralus,Reflection,11:07
12,Lateralus,Triad,8:46
13,Lateralus,Faaip de Oiad,2:39
1,10000 Days,Vicarious,7:06
2,10000 Days,Jambi,7:28
3,10000 Days,Wings for Marie,6:11
4,10000 Days,10000 Days,11:13
5,10000 Days,The Pot,6:21
6,10000 Days,Lipan Conjuring,1:11
7,10000 Days,Lost Keys (Blame Hofmann),3:46
8,10000 Days,Rosetta Stoned,11:11
9,10000 Days,Intension,7:21
10,10000 Days,Right in Two,8:55
11,10000 Days,Viginti Tres,5:02
1,Fear Inoculum,Fear Inoculum,10:21
2,Fear Inoculum,Pneuma,11:53
3,Fear Inoculum,Invincible,12:44
4,Fear Inoculum,Descending,13:37
5,Fear Inoculum,Culling Voices,10:05
6,Fear Inoculum,Chocolate Chip Trip,4:47
7,Fear Inoculum,7empest,15:44
1,Silent Machine,Coming for You,3:05
2,Silent Machine,Kingdom,3:42
3,Silent Machine,Mother Sky,4:16
4,Silent Machine,Shuriken,3:21
5,Silent Machine,Vanguard,2:54
6,Silent Machine,Deluge,4:29
7,Silent Machine,Liberation,3:13
8,Silent Machine,Silent Machine,4:17
9,Silent Machine,Rogue,3:50
10,Silent Machine,Myth of Progress,3:40
11,Silent Machine,Ain't That a Bitch,4:41
12,Silent Machine,Luna,3:42
1,Outlier,One Hand Killing,4:29
2,Outlier,Sick,3:37
3,Outlier,Invincible,3:42
4,Outlier,Oxygen,4:24
5,Outlier,Collateral,4:03
6,Outlier,Post Mortem,3:38
7,Outlier,Point of You,3:35
8,Outlier,Monsoon,3:18
9,Outlier,Adios,3:31
10,Outlier,Dig for Bones,4:01
1,Vengeance,Start the Fire,4:10
2,Vengeance,Long Way Home,3:02
3,Vengeance,Vengeance,3:27
4,Vengeance,IDK,3:03
5,Vengeance,Shock to the System,3:19
6,Vengeance,Gone,3:24
7,Vengeance,Culture War,3:35
8,Vengeance,Dead End,3:44
9,Vengeance,Over and Out,3:30
10,Vengeance,Tangled,3:01
1,Hand.Cannot.Erase,First Regret / 3 Years Older,12:19
2,Hand.Cannot.Erase,Hand Cannot Erase,4:17
3,Hand.Cannot.Erase,Perfect Life,4:46
4,Hand.Cannot.Erase,Routine,8:58
5,Hand.Cannot.Erase,Home Invasion / Regret #9,11:29
6,Hand.Cannot.Erase,Transience,2:43
7,Hand.Cannot.Erase,Ancestral,13:30
